title,rate,year,duration,rank
"Lock, Stock and Two Smoking Barrels",8.1,1998,107,163
The Secret in Their Eyes,8.2,2009,129,164
Inside Out,8.1,2015,95,165
Prisoners,8.1,2013,153,166
"Three Billboards Outside Ebbing, Missouri",8.1,2017,115,167
Trainspotting,8.1,1996,93,168
The Bridge on the River Kwai,8.1,1957,161,169
Fargo,8.1,1996,98,170
Warrior,8.1,2011,140,171
Gran Torino,8.1,2008,116,172
Catch Me If You Can,8.1,2002,141,173
My Neighbor Totoro,8.1,1988,86,174
Million Dollar Baby,8.1,2004,132,175
Children of Heaven,8.2,1997,89,176
Klaus,8.2,2019,96,177
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,130,178
Blade Runner,8.1,1982,117,179
The Gold Rush,8.1,1925,95,180
12 Years a Slave,8.1,2013,134,181
Before Sunrise,8.1,1995,101,182
The Grand Budapest Hotel,8.1,2014,99,183
Ben-Hur,8.1,1959,212,184
Gone Girl,8.1,2014,149,185
On the Waterfront,8.1,1954,108,186
Barry Lyndon,8.1,1975,185,187
The General,8.1,1926,78,188
In the Name of the Father,8.1,1993,133,189
Wild Strawberries,8.1,1957,91,190
Hacksaw Ridge,8.1,2016,139,191
The Deer Hunter,8.1,1978,183,192
The Third Man,8.1,1949,93,193
Memories of Murder,8.1,2003,132,194
The Wages of Fear,8.2,1953,131,195
Sherlock Jr.,8.2,1924,45,196
Wild Tales,8.1,2014,122,197
Mr. Smith Goes to Washington,8.1,1939,129,198
Mad Max: Fury Road,8.1,2015,120,199
Dead Poets Society,8.1,1989,128,200
Mary and Max,8.1,2009,92,201
"Monsters, Inc.",8.1,2001,92,202
How to Train Your Dragon,8.1,2010,98,203
Jaws,8.1,1975,124,204
The Seventh Seal,8.1,1957,96,205
Room,8.1,2015,118,206
Tokyo Story,8.2,1953,136,207
The Big Lebowski,8.1,1998,117,208
Ford v Ferrari,8.1,2019,152,209
The Passion of Joan of Arc,8.2,1928,114,210
Ratatouille,8.1,2007,111,211
Hotel Rwanda,8.1,2004,121,212
Rocky,8.1,1976,120,213
Platoon,8.1,1986,120,214
Logan,8.1,2017,137,215
Spotlight,8.1,2015,129,216
The Terminator,8.1,1984,107,217
Jai Bhim,8.8,2021,164,218
Before Sunset,8.1,2004,80,219
Rush,8.1,2013,123,220
Network,8.1,1976,121,221
Stand by Me,8.1,1986,89,222
The Best Years of Our Lives,8.1,1946,170,223
Into the Wild,8.1,2007,148,224
The Wizard of Oz,8.1,1939,102,225
La haine,8.1,1995,98,226
The Incredibles,8.0,2004,115,227
The Exorcist,8.1,1973,122,228
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,143,229
To Be or Not to Be,8.2,1942,99,230
Groundhog Day,8.0,1993,101,231
My Father and My Son,8.2,2005,112,232
The Battle of Algiers,8.1,1966,121,233
The Grapes of Wrath,8.1,1940,129,234
Hachi: A Dog's Tale,8.1,2009,93,235
The Handmaiden,8.1,2016,145,236
Pather Panchali,8.2,1955,125,237
Amores Perros,8.1,2000,154,238
Rebecca,8.1,1940,130,239
Cool Hand Luke,8.1,1967,127,240
Guardians of the Galaxy Vol. 3,8.1,2023,150,241
The Sound of Music,8.1,1965,172,242
It Happened One Night,8.1,1934,105,243
The 400 Blows,8.1,1959,99,244
Persona,8.1,1966,83,245
The Iron Giant,8.1,1999,86,246
The Help,8.1,2011,146,247
Life of Brian,8.0,1979,94,248
Aladdin,8.0,1992,90,249
Dances with Wolves,8.0,1990,181,250
